Concept	colexification	derivation
back	0	
bad	0	
because	0	
bite	0	
blood	0	
blow	0	
burn	0	
cloud	0	
count [verb]	0	
die	0	
dig	0	
dry	0	
dull	0	
egg	0	
eye	0	
fall	0	
far	0	
fear	0	
few	0	
fire	0	
fish	0	
fly	0	
grass	0	
green	0	
heavy	0	
hot	0	
lake	0	
laugh	0	
liver	0	
long	0	
many	0	
name	0	
narrow	0	
near	0	!derivation!
new	0	
one	0	
push	0	
rain	0	
red	0	
river_2	0	
round	0	
rub	0	
say	0	
sea	0	
sew	0	
sharp	0	
short	0	
sing	0	
sit	0	
smooth	0	
snow	0	
stab	0	
straight	0	
thick	0	
thin	0	
think	0	
three	0	
throw	0	
turn	0	
two	0	
wide	0	
wind	0	
worm	0	
moon	0.01	!derivation!
tie	0.02	!derivation!
all	0.02	
squeeze	0.02	
rotten	0.02	!derivation!
full	0.02	
dog	0.03	
stand	0.03	
come	0.03	
correct	0.03	
wet	0.03	
dirty	0.04	
cold	0.04	
good	0.05	
horn	0.05	!derivation!
in	0.05	
white	0.05	
and	0.05	
count [noun]	0.05	
five	0.05	
four	0.05	
mountain	0.05	
river	0.05	
salt	0.05	!derivation!
walk	0.05	
yellow	0.05	
split	0.06	
float	0.07	
swell	0.07	
scratch	0.08	
cut	0.1	
flow	0.1	
kill	0.1	
path	0.1	
you	0.1	!derivation!
tooth	0.11	!derivation!
breathe	0.11	
know	0.11	
year	0.11	
animal	0.11	
feather	0.12	
snake	0.13	!derivation!
hold-take	0.14	
not	0.14	
pull	0.14	
smell	0.15	
big	0.16	
black	0.16	
flesh	0.16	
wash	0.16	
give	0.17	
suck	0.18	
play	0.19	
mouth	0.2	!derivation!
grease	0.21	!derivation!
flower	0.23	!derivation!
drink	0.23	
how	0.23	
live(alive)	0.24	
ear	0.24	!derivation!
eat	0.26	
bird	0.27	!derivation!
small	0.29	
sleep	0.3	
smoke	0.33	!derivation!
earth	0.35	
lie	0.39	!derivation!
if	0.41	
see	0.43	
father	0.44	!derivation!
hear	0.45	
freeze	0.48	
tail	0.48	!derivation!
rightside	0.5	
heart [compound]	0.53	
where	0.54	
ash	0.55	
swim	0.56	!derivation!
vomit	0.56	
hand	0.57	!derivation!
leftside	0.58	!derivation!
mather	0.58	!derivation!
night	0.61	!derivation!
that	0.62	
fog	0.63	!derivation!
spit	0.63	
root	0.64	!derivation!
sky	0.67	!derivation!
dust	0.67	!derivation!
foot	0.68	!derivation!
woods	0.79	!derivation!
leg	0.82	!derivation!
I	0.84	
sun	0.85	
star	0.85	!derivation!
who	0.94	!derivation!
day	0.95	
hunt	0.95	
this	0.97	
wing	0.97	!derivation!
here	0.98	
fight	0.99	!derivation!
there	0.99	
heart	1	
knee	1.02	!derivation!
skin	1.02	!derivation!
he	1.07	!derivation!
ice	1.1	!derivation!
we	1.14	!derivation!
what	1.29	!derivation!
woman	1.32	!derivation!
bark	1.34	
water	1.37	
they	1.38	!derivation!
fruit	1.39	!derivation!
man	1.4	!derivation!
husband	1.43	!derivation!
tree	1.5	!derivation!
breasts	1.77	!derivation!
old	1.85	
hit	1.95	
bone	1.95	
wife	1.97	!derivation!
louse	2.22	!derivation!
stone	2.29	!derivation!
child	2.31	!derivation!
hair	2.39	
tongue	2.4	!derivation!
stick	2.43	!derivation!
person	2.63	
leaf	2.75	!derivation!
claw	2.78	!derivation!
neck	2.98	!derivation!
sand	3.11	!derivation!
guts	3.45	!derivation!
nose	3.45	!derivation!
rope	3.62	!derivation!
seed	3.71	!derivation!
head	3.91	
belly	3.95	!derivation!
